OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice,MSZoning,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,SaleType,SaleCondition
7,2003,2003,856,856,1710,2,8,0,2003.0,2,548,12.247694320220994,3.0,1.0,3.0,3.0,4.0,0.0,5.0,2.0,0.0,5.0,1.0,12.0,13.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
6,1976,1976,1262,1262,1262,2,6,1,1976.0,2,460,12.109010932687042,3.0,1.0,3.0,3.0,2.0,0.0,24.0,1.0,0.0,2.0,1.0,8.0,8.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0,0.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,5.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,2001,2002,920,920,1786,2,6,1,2001.0,2,608,12.31716669303576,3.0,1.0,0.0,3.0,4.0,0.0,5.0,2.0,0.0,5.0,1.0,12.0,13.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,5.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,1915,1970,756,961,1717,1,7,1,1998.0,3,642,11.84939770159144,3.0,1.0,0.0,3.0,0.0,0.0,6.0,2.0,0.0,5.0,1.0,13.0,15.0,2.0,3.0,4.0,0.0,4.0,1.0,3.0,0.0,6.0,1.0,2.0,1.0,4.0,2.0,6.0,2.0,5.0,3.0,5.0,5.0,2.0,4.0,8.0,0.0
8,2000,2000,1145,1145,2198,2,9,1,2000.0,3,836,12.429216196844383,3.0,1.0,0.0,3.0,2.0,0.0,15.0,2.0,0.0,5.0,1.0,12.0,13.0,1.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,5.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
5,1993,1995,796,796,1362,1,5,0,1993.0,2,480,11.870599909242044,3.0,1.0,0.0,3.0,4.0,0.0,11.0,2.0,0.0,0.0,1.0,12.0,13.0,2.0,3.0,4.0,5.0,2.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0,8.0,4.0
8,2004,2005,1686,1694,1694,2,7,1,2004.0,2,636,12.634603026569334,3.0,1.0,3.0,3.0,4.0,0.0,21.0,2.0,0.0,2.0,1.0,12.0,13.0,3.0,2.0,4.0,2.0,0.0,4.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,1973,1973,1107,1107,2090,2,7,2,1973.0,2,484,12.206072645530174,3.0,1.0,0.0,3.0,0.0,0.0,14.0,4.0,0.0,5.0,1.0,6.0,6.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,6.0,5.0,1.0,2.0,5.0,5.0,2.0,4.0,8.0,4.0
7,1931,1950,952,1022,1774,2,8,2,1931.0,2,468,11.77452020265869,4.0,1.0,3.0,3.0,4.0,0.0,17.0,0.0,0.0,0.0,1.0,3.0,15.0,2.0,3.0,4.0,0.0,4.0,4.0,3.0,6.0,6.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,5.0,3.0,1.0,5.0,2.0,4.0,8.0,0.0
5,1939,1950,991,1077,1077,1,5,2,1939.0,1,205,11.678439903447801,3.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,8.0,8.0,2.0,3.0,4.0,0.0,4.0,4.0,3.0,2.0,6.0,1.0,0.0,1.0,4.0,3.0,6.0,5.0,1.0,2.0,2.0,5.0,2.0,4.0,8.0,4.0
