,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,Fireplaces,GarageYrBlt,GarageCars,GarageArea,MSZoning,Neighborhood,BsmtQual,BsmtFinType1,CentralAir,GarageType,SalePrice
0,7,2003,2003,856,856,1710,0,2003.0,2,548,RL,CollgCr,Gd,GLQ,Y,Attchd,12.247694320220994
1,6,1976,1976,1262,1262,1262,1,1976.0,2,460,RL,Veenker,Gd,ALQ,Y,Attchd,12.109010932687042
2,7,2001,2002,920,920,1786,1,2001.0,2,608,RL,CollgCr,Gd,GLQ,Y,Attchd,12.31716669303576
3,7,1915,1970,756,961,1717,1,1998.0,3,642,RL,Crawfor,TA,ALQ,Y,Detchd,11.84939770159144
4,8,2000,2000,1145,1145,2198,1,2000.0,3,836,RL,NoRidge,Gd,GLQ,Y,Attchd,12.429216196844383
5,5,1993,1995,796,796,1362,0,1993.0,2,480,RL,Mitchel,Gd,GLQ,Y,Attchd,11.870599909242044
6,8,2004,2005,1686,1694,1694,1,2004.0,2,636,RL,Somerst,Ex,GLQ,Y,Attchd,12.634603026569334
7,7,1973,1973,1107,1107,2090,2,1973.0,2,484,RL,NWAmes,Gd,ALQ,Y,Attchd,12.206072645530174
8,7,1931,1950,952,1022,1774,2,1931.0,2,468,RM,OldTown,TA,Unf,Y,Detchd,11.77452020265869
9,5,1939,1950,991,1077,1077,2,1939.0,1,205,RL,BrkSide,TA,GLQ,Y,Attchd,11.678439903447801
10,5,1965,1965,1040,1040,1040,0,1965.0,1,384,RL,Sawyer,TA,Rec,Y,Detchd,11.771436160121729
11,9,2005,2006,1175,1182,2324,2,2005.0,3,736,RL,NridgHt,Ex,GLQ,Y,BuiltIn,12.751299696013497
12,5,1962,1962,912,912,912,0,1962.0,1,352,RL,Sawyer,TA,ALQ,Y,Detchd,11.877568578558138
13,7,2006,2007,1494,1494,1494,1,2006.0,3,840,RL,CollgCr,Gd,Unf,Y,Attchd,12.540757571577291
14,6,1960,1960,1253,1253,1253,1,1960.0,1,352,RL,NAmes,TA,BLQ,Y,Attchd,11.964001084330445
15,7,1929,2001,832,854,854,0,1991.0,2,576,RM,BrkSide,TA,Unf,Y,Detchd,11.790557201568507
16,6,1970,1970,1004,1004,1004,1,1970.0,2,480,RL,NAmes,TA,ALQ,Y,Attchd,11.911701584927597
17,4,1967,1967,0,1296,1296,0,1967.0,2,516,RL,Sawyer,No,No,Y,CarPort,11.407564949312402
18,5,2004,2004,1114,1114,1114,0,2004.0,2,576,RL,SawyerW,TA,GLQ,Y,Detchd,11.976659481202368
19,5,1958,1965,1029,1339,1339,0,1958.0,1,294,RL,NAmes,TA,LwQ,Y,Attchd,11.842229212112828
20,8,2005,2006,1158,1158,2376,1,2005.0,3,853,RL,NridgHt,Ex,Unf,Y,BuiltIn,12.692503112461443
21,7,1930,1950,637,1108,1108,1,1930.0,1,280,RM,IDOTRR,TA,Unf,Y,Attchd,11.845102777308561
22,8,2002,2002,1777,1795,1795,1,2002.0,2,534,RL,CollgCr,Gd,Unf,Y,Attchd,12.345834587905333
23,5,1976,1976,1040,1060,1060,1,1976.0,2,572,RM,MeadowV,Gd,GLQ,Y,Attchd,11.77452020265869
24,5,1968,2001,1060,1060,1060,1,1968.0,1,270,RL,Sawyer,TA,Rec,Y,Attchd,11.944707881395766
25,8,2007,2007,1566,1600,1600,1,2007.0,3,890,RL,NridgHt,Gd,Unf,Y,Attchd,12.454103912352162
26,5,1951,2000,900,900,900,0,2005.0,2,576,RL,NAmes,TA,BLQ,Y,Detchd,11.811547477460344
27,8,2007,2008,1704,1704,1704,1,2008.0,3,772,RL,NridgHt,Ex,GLQ,Y,Attchd,12.631340380934517
28,5,1957,1997,1484,1600,1600,2,1957.0,1,319,RL,NAmes,TA,BLQ,Y,Attchd,12.24288661865289
29,4,1927,1950,520,520,520,0,1920.0,1,240,RM,BrkSide,TA,Unf,N,Detchd,11.134589024250317
30,4,1920,1950,649,649,1317,0,1920.0,1,250,C (all),IDOTRR,TA,Unf,N,Detchd,10.596634733096073
31,5,1966,2006,1228,1228,1228,0,1966.0,1,271,RL,Sawyer,TA,Unf,Y,Attchd,11.914047823644255
32,8,2007,2007,1234,1234,1234,0,2007.0,2,484,RL,CollgCr,Ex,Unf,Y,Attchd,12.100156419938624
33,5,1959,1959,1398,1700,1700,1,1959.0,2,447,RL,NAmes,TA,Rec,Y,Attchd,12.016726473799254
34,9,2005,2005,1561,1561,1561,1,2005.0,2,556,RL,NridgHt,Ex,GLQ,Y,Attchd,12.533576212168626
35,8,2004,2005,1117,1132,2452,1,2004.0,3,691,RL,NridgHt,Ex,Unf,Y,BuiltIn,12.641096555879882
36,5,1994,1995,1097,1097,1097,0,1995.0,2,672,RL,CollgCr,Gd,Unf,Y,Attchd,11.884489021402711
37,5,1954,1990,1297,1297,1297,1,1954.0,2,498,RL,NAmes,TA,Rec,Y,Attchd,11.938193200374572
38,5,1953,2007,1057,1057,1057,0,1953.0,1,246,RL,NAmes,TA,GLQ,Y,Detchd,11.59910316121128
39,4,1955,1955,0,1152,1152,0,1978.5061638868744,0,0,RL,Edwards,No,No,N,No,11.314474526246391
40,6,1965,1965,1088,1324,1324,1,1965.0,2,440,RL,NAmes,TA,Rec,Y,Attchd,11.982929094215963
41,5,1959,1959,1350,1328,1328,2,1959.0,1,308,RL,Timber,TA,BLQ,Y,Attchd,12.043553716032399
42,5,1983,1983,840,884,884,0,1983.0,2,504,RL,SawyerW,Gd,ALQ,Y,Attchd,11.877568578558138
43,5,1975,1980,938,938,938,0,1977.0,1,308,RL,CollgCr,Gd,LwQ,Y,Detchd,11.777210959615614
44,5,1959,1959,1150,1150,1150,0,1959.0,1,300,RL,NAmes,TA,ALQ,Y,Attchd,11.856515169360305
45,9,2005,2005,1752,1752,1752,1,2005.0,2,576,RL,NridgHt,Ex,GLQ,Y,Attchd,12.675763725937609
46,7,2003,2003,1434,1518,2149,1,2003.0,2,670,RL,Mitchel,Ex,GLQ,Y,Attchd,12.387085012375499
47,8,2006,2006,1656,1656,1656,0,2006.0,3,826,FV,Somerst,Gd,GLQ,Y,Attchd,12.428015476267865
48,4,1920,2008,736,736,1452,0,1978.5061638868744,0,0,RM,OldTown,TA,Unf,Y,No,11.635143097694478
49,5,1966,1966,955,955,955,0,1966.0,1,386,RL,Sawyer,TA,BLQ,Y,Attchd,11.751942365440728
50,6,1997,1997,794,794,1470,0,1997.0,2,388,RL,Gilbert,Gd,GLQ,Y,Attchd,12.083905011555967
51,6,1934,1950,816,816,1176,1,1985.0,2,528,RM,BrkSide,TA,Unf,Y,Detchd,11.648330101976432
52,5,1963,1963,816,816,816,0,1963.0,2,516,RM,IDOTRR,Gd,LwQ,N,CarPort,11.608235644774552
53,9,1981,1987,1842,1842,1842,1,1981.0,3,894,RL,Veenker,Ex,GLQ,Y,Attchd,12.86099861326992
54,5,1955,1955,384,1360,1360,1,1962.0,2,572,RL,NAmes,TA,ALQ,Y,Detchd,11.77528972943772
55,6,1964,1964,1425,1425,1425,1,1964.0,2,576,RL,NAmes,TA,BLQ,Y,Attchd,12.103486056755072
56,8,1999,2000,970,983,1739,0,1999.0,2,480,FV,Somerst,Gd,GLQ,Y,Attchd,12.058152515453552
57,7,2004,2004,860,860,1720,0,2004.0,2,565,RL,CollgCr,Gd,Unf,Y,Attchd,12.188417710291453
58,10,2006,2006,1410,1426,2945,1,2006.0,3,641,RL,StoneBr,Ex,Unf,Y,BuiltIn,12.991753427493052
